Post,Similarity Measure,Related Posts
some suggestion for career in data science or predictive modeling,0.16596966114199257,starting my career as data scientist  is software engineering experience required 
some suggestion for career in data science or predictive modeling,0.3284987102599716,statistics   computer science   data science 
how to classify and cluster this time series data,0.10871320342982171,human activity recognition using smartphone data set problem
how to classify and cluster this time series data,0.26357907964678273,how to deal with time series which change in seasonality or other patterns 
business exception reporting,0.0,tools and protocol for reproducible data science using python
business exception reporting,0.0,what do you use to generate a dashboard in r 
business exception reporting,0.0,what initial steps should i use to make sense of large data sets  and what tools should i use 
business exception reporting,0.0,interactive graphing while logging data
web framework built for recommendations,0.0,organized processes to clean data
web framework built for recommendations,0.0,recommending movies with additional features using collaborative filtering
high-dimensional data: what are useful techniques to know?,0.08980212447509651,solving a system of equations with sparse data
high-dimensional data: what are useful techniques to know?,0.3341658182121005,nearest neighbors search for very high dimensional data
rank players of any given sport,0.0,can machine learning algorithms predict sports scores or plays 
rank players of any given sport,0.0,predictive modeling based on rfm scoring indicators
graph layout for a network of molecules,0.18322340813325647,visualizing a graph with a million vertices
graph layout for a network of molecules,0.15967058203849993,visualizing deep neural network training
where can i find resources and papers regarding data science in the area of public health,0.039071612682555754,starting my career as data scientist  is software engineering experience required 
where can i find resources and papers regarding data science in the area of public health,0.11035512494427202,tools and protocol for reproducible data science using python
where can i find resources and papers regarding data science in the area of public health,0.16066115348921314,data science project ideas
possibility of working on kddcup data in local system,0.10513034715392536,is the r language suitable for big data
possibility of working on kddcup data in local system,0.0,r random forest on amazon ec2 error  cannot allocate vector of size 5 4 gb
possibility of working on kddcup data in local system,0.09243758146611247,vm image for data science projects
how can i use data science to profoundly contribute to humanity?,0.1919463914373556,data science project ideas
how can i use data science to profoundly contribute to humanity?,0.06090248902746921,working as data scientist for a nonprofit company
how can i use data science to profoundly contribute to humanity?,0.13184436654187043,learning resources for data science to win political campaigns 
finding user similarities within informal data sets,0.10368555708160042,dataset for named entity recognition on informal text
finding user similarities within informal data sets,0.0,help regarding ner in nltk
master degree in data science,0.24827270964837594,is data science the same as data mining 
master degree in data science,0.1028621641723248,is data science just a trend or is a long term concept 
master degree in data science,0.13577890669632486,data science ph d  program  what do you think 
master degree in data science,0.26777109804727955,books about the  science  in data science 
master degree in data science,0.16522570257780891,what do you think of data science certifications 
master degree in data science,0.0364482126019548,starting my career as data scientist  is software engineering experience required 
master degree in data science,0.21909837531967433,statistics   computer science   data science 
master degree in data science,0.04858909531966727,career switch to big data analytics
using attributes to classify/cluster user profiles,0.0,need help with lda for selecting features
using attributes to classify/cluster user profiles,0.0,clustering users based on buying behaviour
how can an undergraduate learn more about deep learning?,0.32600382561437724,deep learning basics
how can an undergraduate learn more about deep learning?,0.2586152916157728,route to picking up deep learning
what is a good non cryptographic hash for string feature translation?,0.0,how can i transform names in a confidential data set to make it anonymous  but preserve some of the characteristics of the names 
what is a good non cryptographic hash for string feature translation?,0.11060843480290322,neural network parse string data 
denoising autoenoders with variable length input,0.12496742408469774,how to use neural networks with large and variable number of inputs 
denoising autoenoders with variable length input,0.28819152812906945,training neural networks with unknown length of input
"how to start analysing and modelling data for an academic project, when not a statistician or data scientist",0.0,first steps on a new cleaned dataset
"how to start analysing and modelling data for an academic project, when not a statistician or data scientist",0.11296474633409798,tools and protocol for reproducible data science using python
"how to start analysing and modelling data for an academic project, when not a statistician or data scientist",0.0849921338319187,what initial steps should i use to make sense of large data sets  and what tools should i use 
credit card fraud detection - anomaly detection based on amount of money to be withdrawn?,0.0,machine learning   features engineering from date time data
credit card fraud detection - anomaly detection based on amount of money to be withdrawn?,0.0,classifying transactions as malicious
predictive analysis of rare events,0.0,what are the implications for training a tree ensemble with highly biased datasets 
predictive analysis of rare events,0.0,skewed multi class data
predictive analysis of rare events,0.0,should i go for a  balanced  dataset or a  representative  dataset 
predictive analysis of rare events,0.0,quick guide into training highly imbalanced data sets
predictive analysis of rare events,0.0,ratio of positive to negative sample in data set for best classification
how does strided deconvolution works?,0.0,what are deconvolutional layers 
how does strided deconvolution works?,0.1192129252971507,what is deconvolution operation used in fully convolutional neural networks 
how can one can aim for a career in machine learning?,0.0,data science conferences 
