Similar_Users,User1_id,User1_post,user1_Tags,user2_id,User2_post,user2_Tags
"(5, 41808)",5,[5],machine-learning,41808,none,none
"(11, 26237)",11,[33025],machine-learning time-series data-science-model,26237,none,none
"(34, 31386)",34,[26631],deep-learning reinforcement-learning correlation,31386,none,none
"(36, 10841)",36,"[7, 1113]",education open-source bigdata clustering text-mining,10841,none,none
"(38, 10088)",38,none,none,10088,[56129],scikit-learn learning-to-rank
"(43, 32164)",43,none,none,32164,[18956],python pandas categorical-data
"(59, 13481)",59,none,none,13481,"[8500, 8806, 8813, 9129, 9165, 9247, 10528, 19116, 38256]",dataset neural-network sampling statistics correlation regression correlation dataset regression predictive-modeling regression predictive-modeling simulation dataset regression machine-learning neural-network clustering k-means distance
"(62, 8644)",62,[352],visualization,8644,[5471],r
"(63, 73202)",63,[16],machine-learning bigdata libsvm,73202,none,none
"(66, 69546)",66,"[14, 26520]",data-mining definitions nlp stanford-nlp,69546,[47297],python bayesian scipy probabilistic-programming
"(75, 33176)",75,[5933],machine-learning data-mining dataset,33176,[19546],dataset statistics
"(77, 17887)",77,"[16322, 42854]",python neural-network deep-learning convnet keras deep-learning tensorflow computer-vision object-detection,17887,none,none
"(82, 71160)",82,"[5687, 27960, 31842, 31914, 34038, 50898]",text-mining dataset decision-trees python visualization seaborn python scikit-learn svm hyperparameter python classification scikit-learn random-forest decision-trees python scikit-learn hyperparameter grid-search svr,71160,none,none
"(84, 58005)",84,"[19, 81, 94, 138, 376, 387, 422, 423, 451, 453, 458, 730]",bigdata scalability efficiency performance definitions parallel distributed recommender-system information-retrieval bigdata efficiency performance bigdata efficiency performance scalability distributed bigdata efficiency open-source dataset crawling bigdata scalability distributed efficiency distributed performance classification algorithms encoding clustering algorithms k-means bigdata data-mining efficiency state-of-the-art,58005,none,none
"(95, 445)",95,"[820, 823]",search social-network-analysis,445,none,none
"(97, 8704)",97,"[22, 262, 384, 511, 919, 921, 1107, 1108, 1119, 2491, 2563, 4917, 5175, 5345, 9554]",data-mining clustering octave k-means categorical-data data-formats hierarchical-data-format classification binary svm random-forest logistic-regression cross-validation sampling classification cross-validation r accuracy cross-validation sampling beginner machine-learning classification dataset unbalanced-classes r unbalanced-classes gbm marketing predictive-modeling visualization tableau marketing infographics visualization visualization marketing tableau visualization tools tableau r tools rstudio programming beginner open-source,8704,none,none
"(105, 68353)",105,none,none,68353,[46154],machine-learning cross-validation performance sampling hyperparameter-tuning
"(108, 38744)",108,none,none,38744,[24408],regression unbalanced-classes normalization class-imbalance
"(109, 11006)",109,[125],nosql,11006,none,none
"(111, 39533)",111,none,none,39533,"[23219, 23474]",machine-learning python classification scikit-learn cross-validation machine-learning regression linear-regression gradient-descent
"(118, -1)",118,[31],data-mining clustering,-1,none,none
"(122, -1)",122,"[128, 129, 130, 199, 224, 235, 5694, 6604, 8883, 9281, 9819, 9853, 12992, 19638, 23374, 24020, 26947, 27225, 36624]",nlp topic-model lda nlp language-model feature-selection feature-extraction dimensionality-reduction topic-model lda parameter machine-translation python visualization machine-learning dimensionality-reduction regression machine-learning regression feature-selection feature-construction missing-data machine-learning algorithms machine-translation gensim word2vec convergence algorithms machine-translation parameter-estimation machine-learning bayesian graphical-model visualization multiclass-classification dataframe nlp evaluation machine-translation information-theory ngrams visualization plotting seaborn historgram counts deep-learning recurrent-neural-net sequence-to-sequence natural-language-process pytorch recurrent-neural-net sequence-to-sequence glorot-initialization nlp probability mutual-information,-1,none,none
"(124, 15412)",124,none,none,15412,"[9793, 9813, 11704, 11747, 13059, 13069, 13089, 13350, 13376, 13410, 13580, 13706, 13726, 13762, 13782, 13897, 13923, 14690, 15043, 18687, 20296]",machine-learning python scikit-learn machine-learning python svm scikit-learn python neural-network deep-learning keras python deep-learning cross-validation keras python data pandas python pandas machine-learning python data-cleaning pandas keras machine-learning python deep-learning regression keras machine-learning python deep-learning scikit-learn keras machine-learning python scikit-learn random-forest machine-learning python dataset scikit-learn machine-learning deep-learning tensorflow keras machine-learning scikit-learn feature-engineering encoding machine-learning scikit-learn feature-extraction feature-engineering dataset pandas feature-extraction categorical-data feature-engineering deep-learning keras word-embeddings word2vec machine-learning deep-learning word-embeddings word2vec sentiment-analysis machine-learning python visualization data-cleaning python dataset visualization pandas distribution python visualization pandas machine-learning deep-learning
"(132, 38476)",132,none,none,38476,[22590],statistics
"(134, 79456)",134,[38],nosql tools processing apache-hadoop,79456,none,none
"(136, 62401)",136,"[41, 2439]",bigdata r sequence,62401,none,none
"(141, 75006)",141,[53738],classification unbalanced-classes semi-supervised-learning,75006,none,none
"(151, 13115)",151,"[50, 189]",r databases efficiency tools r open-source parallel optimization,13115,none,none
