UserName,Posts,RecommendedPosts
Shagun Sodhani,['What possible data products can be built using this dataset'],['How to reduce an unknown size data into a fixed size data? Please read details']
prooffreader,"[""What's the best way to use binned data in a tree-based model?""]",['How to select features from text data?']
Minu,"['Visualization using D3', 'Simple Excel Question: VLookup Error', '3D map using leaflet', 'What are the relationships/differences between Bias, Variance and Residuals', 'What is the difference between the 3 architectural components of Microsoft R Server?', 'Are SAS Data Storage Options designed for Big Data?', 'What does Negative Log Likelihood mean?', 'How to measure variance in a classification dataset?', 'Is there a process flow to follow for text analytics?', 'What is the difference between a hashing vectorizer and a tfidf vectorizer', 'Where can I find datasets with labeled duplicate text documents?', 'Online vs Batch Learning in Latent Dirichlet Allocation using Scikit Learn']",['How to know for sure if we can learn from a given data or not?']
Hack-R,"['Ethically and Cost-effectively Scaling Data Scrapes', ""How to Interpret Multinomial Specification in R's `mnlogit` package"", 'Data Science in C (or C++)', 'Random Forests with Big Data - number of trees v. number of observations', 'Change raw count to a proportion based on a filter in Tableau', '2 stage ensemble -- CV MSE valid in 1st stage but not in 2nd', ""Which of the 180 algorithms in R's caret package are feasible?"", 'Algorithmic approach to model blending', 'Response variable with very high number of class levels in R', 'Convolutional Neural Networks in R', ""Scala vs Java if you're NOT going to use Spark?"", ""Does MS PowerBI directly connect with Azure's ML workbench?"", 'Random Forest where objective is not to replicate past classifications', 'Alternative to Flesch for a readability score algorithm', ""Google's election results data visualization"", 'What are the ""extra nodes"" in XGboost?', ""Piecing together an equivalent of Google's Data Science / Engineering AIY Computer Viz kit""]","['Practical use of oop in R', 'Replacing values in multiple columns of a data frame in R']"
teebszet,"['Analyzing A/B test results which are not normally distributed, using independent t-test']",['Creating the optimal set of utterances to train a natural language processing engine']
Thomas Cleberg,['Saving Large Spark ML Pipeline to HDFS'],['Best Data Science & Machine Learning Conferences 2019?']
Nikhil Katre,['R Script to generate random dataset in 2d space'],['Binary Classification on small dataset < 200 samples']
Salvador Dali,['Multiple labels in supervised learning algorithm'],"['Analyzing customer response', 'Data categorization', 'Tag categorizer', 'Creating training data', 'Word analysis in Python', 'Understanding ConfusionMatrix for Google Prediction API', 'How to classify support call texts?', 'Newsgroup classification', 'Stackoverflow API Structure data storage', 'Similarity between two words', 'Music corpus sentence level clustering', 'Sentence similarity', 'Binary classification problem', 'Text processing', 'Price prediction based on historic data', 'Google Cloud NLP PERSON entities', 'LSTM text generation', 'ML project ideas for dataset', 'Text comparison using word embeddings', 'Multivariable real time system for fraud detection', 'Predicting with categorical data', 'Compare image similarity in Python', 'Data preparation for Regression Model', 'Grouping company information', 'Logistic Regression with Tensorflow', 'Census dataset alternatives']"
flow,['Scikit Learn: KMeans Clustering 3D data over a time period (dimentionality reduction?)'],['Unable to understand the usage of labels argument in sklearn.metrics.f1_score']
Chiffa,"['Machine Learning on financial big data', 'Dividing percentage', 'ValueError when doing validation with random forests']",['Do Convolution Layers in a CNN Treat the Previous Layer Outputs as Channels?']
